Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5
D1;2-11-2002;Munich 1860;Bielefeld;3;1;H;3;1;H;1.667;3.3;4.5;1.66;3.45;4.85;1.65;3.3;4.4;1.57;3.5;5;1.67;3.4;4.5;1.667;3.4;4.75;1.61;3.3;5;1.65;1.95;;
D1;2-11-2002;Nurnberg;M'gladbach;2;1;H;2;0;H;2;3.2;3.2;2.1;3.3;3.1;2.2;3;2.9;2;3.2;3.2;2.1;3.25;3;2.1;3.2;3.2;2;3.2;3.2;1.75;1.85;;
D1;3-11-2002;Bochum;Hertha;3;0;H;0;0;D;2.5;3.1;2.5;2.65;3.15;2.45;2.5;3;2.5;2.5;3.25;2.4;2.5;3.2;2.5;2.5;3.25;2.5;2.37;3.1;2.62;1.7;1.9;;
D1;3-11-2002;Werder Bremen;Bayern Munich;2;0;H;1;0;H;2.625;3.2;2.3;2.85;3.25;2.25;2.7;3;2.3;2.88;3;2.25;2.8;3.25;2.2;2.8;3.2;2.3;2.8;3.1;2.25;1.65;1.95;;
D1;9-11-2002;Bayern Munich;Dortmund;2;1;H;0;1;A;1.83;3.2;3.75;1.95;3.36;4.06;1.8;3.1;3.8;1.8;3.25;3.75;1.83;3.25;3.75;1.85;3.3;3.8;1.83;3.2;3.75;1.85;1.93;;
D1;9-11-2002;Bielefeld;Nurnberg;0;1;A;0;0;D;1.83;3.2;3.75;1.91;3.45;3.81;2;3.1;3.2;1.91;3.2;3.5;1.83;3.25;3.75;1.85;3.3;3.8;1.9;3.2;3.5;1.75;2.01;;
D1;9-11-2002;Hamburg;Munich 1860;1;0;H;1;0;H;2.2;3.25;2.75;2.31;3.35;3.2;2;3.1;3.2;2.2;3.2;2.8;2.2;3.25;2.9;2.2;3.25;2.9;2.1;3.2;3;1.74;2.07;;
D1;9-11-2002;Kaiserslautern;Hannover;0;1;A;0;1;A;1.83;3.2;3.75;1.86;3.5;4.05;1.85;3.1;3.6;1.8;3.2;4;1.83;3.25;3.75;1.85;3.3;3.8;1.8;3.25;3.8;1.72;2.17;;
D1;9-11-2002;Schalke 04;Leverkusen;0;1;A;0;0;D;1.9;3.2;3.5;2;3.4;4;2.1;3;3.1;1.91;3.2;3.5;1.91;3.25;3.5;1.909;3.25;3.6;1.9;3.2;3.5;1.77;1.9;;
D1;9-11-2002;Stuttgart;Bochum;3;2;H;0;0;D;1.8;3.3;3.75;1.8;3.6;4.2;1.75;3.2;4;1.8;3.2;4;1.8;3.25;4;1.8;3.3;4;1.72;3.25;4.2;1.75;1.95;;
D1;9-11-2002;Wolfsburg;Werder Bremen;3;1;H;1;0;H;2.37;3.1;2.62;2.47;3.38;2.87;2.3;3;2.7;2.38;3.2;2.62;2.25;3.25;2.75;2.3;3.25;2.75;2.2;3.1;2.87;1.72;2.01;;
